1,2,3,4
98.402,97.015,93.456,78.387
98.419,97.035,93.492,78.497
98.428,97.052,93.524,78.607
98.433,97.061,93.542,78.709
98.439,97.084,93.584,78.825
98.448,97.101,93.614,78.932
98.451,97.108,93.642,79.033
98.459,97.13,93.678,79.143
98.471,97.147,93.715,79.256
98.48,97.166,93.742,79.353
98.489,97.185,93.779,79.462
98.5,97.2,93.811,79.572
98.512,97.221,93.842,79.684
98.514,97.234,93.875,79.793
98.521,97.246,93.907,79.893
98.541,97.269,93.938,80.009
98.546,97.282,93.962,80.116
98.55,97.298,93.993,80.223
98.561,97.314,94.026,80.327
98.56,97.327,94.049,80.432
98.573,97.348,94.083,80.545
98.586,97.365,94.118,80.647
98.602,97.38,94.153,80.757
98.607,97.395,94.18,80.861
98.615,97.408,94.205,80.957
98.625,97.426,94.24,81.065
98.633,97.45,94.275,81.171
98.642,97.467,94.299,81.268
98.653,97.487,94.33,81.377
98.66,97.498,94.357,81.468
98.654,97.501,94.376,81.557
98.669,97.533,94.415,81.662
98.68,97.546,94.444,81.755
98.683,97.554,94.47,81.851
98.697,97.577,94.513,81.949
98.698,97.588,94.527,82.04
98.709,97.597,94.551,82.138
98.72,97.618,94.582,82.239
98.724,97.627,94.609,82.32
98.729,97.643,94.635,82.422
98.734,97.653,94.672,82.512
98.738,97.664,94.687,82.599
98.746,97.676,94.714,82.692
98.761,97.693,94.743,82.79
98.773,97.714,94.785,82.89
98.778,97.723,94.803,82.98
98.776,97.734,94.827,83.072
98.781,97.745,94.855,83.16
98.807,97.765,94.891,83.258
98.799,97.774,94.914,83.339
98.802,97.777,94.936,83.423
98.822,97.797,94.969,83.527
98.827,97.816,94.994,83.615
98.825,97.82,95.009,83.693
98.828,97.832,95.039,83.783
98.828,97.838,95.061,83.855
98.836,97.849,95.088,83.936
98.84,97.864,95.114,84.021
98.854,97.881,95.145,84.116
98.856,97.894,95.158,84.203
98.857,97.897,95.18,84.279
98.859,97.903,95.203,84.363
98.868,97.913,95.232,84.445
98.865,97.925,95.258,84.532
98.875,97.929,95.271,84.613
98.874,97.942,95.29,84.692
98.88,97.957,95.32,84.776
98.894,97.975,95.354,84.86
98.891,97.981,95.381,84.94
98.888,97.987,95.395,85.025
98.901,97.997,95.419,85.107
98.906,98.012,95.453,85.187
98.917,98.03,95.473,85.274
98.914,98.029,95.488,85.353
98.914,98.033,95.514,85.425
98.912,98.038,95.526,85.493
98.912,98.035,95.543,85.565
98.917,98.053,95.567,85.643
98.911,98.055,95.575,85.71
98.923,98.067,95.602,85.78
98.927,98.076,95.622,85.86
98.926,98.079,95.633,85.931
98.936,98.097,95.671,86.009
98.94,98.103,95.697,86.086
98.944,98.111,95.715,86.156
98.947,98.12,95.734,86.23
98.956,98.132,95.758,86.311
98.978,98.157,95.79,86.394
98.97,98.163,95.81,86.465
98.975,98.187,95.836,86.545
98.978,98.195,95.857,86.62
98.991,98.212,95.886,86.702
99.005,98.241,95.917,86.78
99.017,98.262,95.949,86.862
99.022,98.259,95.969,86.938
99.028,98.279,95.988,87.012
99.022,98.282,95.999,87.073
99.039,98.299,96.036,87.152
99.057,98.311,96.06,87.225
99.068,98.337,96.097,87.314
99.074,98.355,96.115,87.384
99.084,98.366,96.138,87.453
99.088,98.373,96.159,87.529
99.091,98.383,96.176,87.598
99.095,98.395,96.202,87.672
99.104,98.412,96.231,87.746
99.117,98.434,96.262,87.817
99.126,98.451,96.289,87.898
99.146,98.482,96.324,87.984
99.146,98.488,96.339,88.045
99.147,98.5,96.362,88.112
99.142,98.508,96.387,88.182
99.168,98.532,96.42,88.263
99.165,98.543,96.429,88.318
99.174,98.549,96.445,88.388
99.19,98.572,96.477,88.475
99.2,98.589,96.515,88.551
99.214,98.601,96.532,88.615
99.21,98.613,96.548,88.676
99.216,98.624,96.573,88.747
99.225,98.643,96.599,88.821
99.236,98.659,96.617,88.889
99.24,98.659,96.634,88.956
99.243,98.659,96.652,89.014
99.254,98.676,96.663,89.07
99.268,98.692,96.686,89.137
99.263,98.698,96.713,89.2
99.263,98.717,96.725,89.253
99.281,98.723,96.75,89.316
99.29,98.73,96.773,89.377
99.294,98.75,96.797,89.445
99.301,98.769,96.814,89.51
99.3,98.772,96.823,89.561
99.306,98.778,96.851,89.626
99.309,98.784,96.863,89.69
99.31,98.799,96.892,89.749
99.315,98.811,96.906,89.807
99.323,98.813,96.925,89.868
99.338,98.824,96.944,89.928
99.344,98.836,96.965,89.998
99.348,98.849,96.977,90.057
99.35,98.865,97.006,90.114
99.347,98.857,97.015,90.164
99.35,98.874,97.044,90.225
99.347,98.872,97.043,90.285
99.356,98.878,97.069,90.34
99.365,98.897,97.09,90.402
99.352,98.889,97.093,90.443
99.38,98.907,97.116,90.509
99.38,98.909,97.128,90.564
99.384,98.914,97.145,90.62
99.373,98.909,97.154,90.674
99.368,98.907,97.168,90.717
99.391,98.932,97.203,90.779
99.391,98.93,97.208,90.833
99.39,98.952,97.223,90.892
99.388,98.936,97.227,90.935
99.391,98.943,97.247,90.984
99.394,98.952,97.255,91.04
99.399,98.956,97.27,91.089
99.403,98.967,97.293,91.148
99.396,98.961,97.296,91.196
99.417,98.982,97.331,91.264
99.409,98.988,97.333,91.304
99.417,98.975,97.336,91.348
99.411,98.987,97.342,91.399
99.408,98.987,97.354,91.451
99.402,98.984,97.366,91.49
99.411,98.982,97.383,91.541
99.42,98.994,97.397,91.595
99.414,98.999,97.404,91.64
99.402,98.985,97.406,91.667
99.391,98.978,97.4,91.705
99.4,98.982,97.421,91.759
99.4,98.994,97.435,91.803
99.391,98.988,97.437,91.847
99.396,98.988,97.455,91.908
99.388,98.978,97.458,91.939
99.411,98.991,97.478,91.994
99.394,98.991,97.472,92.026
99.428,98.996,97.505,92.079
99.406,98.994,97.522,92.128
99.406,98.999,97.527,92.175
99.408,99.002,97.534,92.221
99.417,99.014,97.546,92.273
99.409,99.017,97.56,92.317
99.414,99.023,97.583,92.36
99.426,99.039,97.606,92.413
99.42,99.036,97.62,92.458
99.426,99.046,97.635,92.517
99.434,99.059,97.655,92.572
99.451,99.077,97.678,92.619
99.448,99.08,97.687,92.665
99.454,99.088,97.702,92.711
99.454,99.095,97.708,92.755
99.455,99.106,97.729,92.799
99.469,99.115,97.752,92.86
99.481,99.12,97.772,92.908
99.495,99.133,97.804,92.961
99.495,99.15,97.813,93.013
99.495,99.156,97.823,93.051
99.496,99.167,97.835,93.108
99.506,99.179,97.849,93.153
99.495,99.182,97.862,93.193
99.527,99.207,97.891,93.259
99.529,99.213,97.896,93.306
99.524,99.216,97.917,93.352
99.55,99.229,97.934,93.404
99.551,99.24,97.954,93.44
99.554,99.246,97.974,93.492
99.55,99.252,97.987,93.529
99.561,99.265,97.997,93.587
99.554,99.265,98.004,93.616
99.562,99.271,98.021,93.668
99.571,99.277,98.036,93.71
99.582,99.304,98.064,93.764
99.586,99.309,98.082,93.808
99.593,99.323,98.099,93.86
99.599,99.323,98.111,93.9
99.596,99.318,98.111,93.942
99.602,99.329,98.125,93.991
99.609,99.338,98.138,94.032
99.611,99.344,98.155,94.066
99.619,99.356,98.172,94.106
99.632,99.365,98.196,94.153
99.64,99.37,98.207,94.197
99.638,99.376,98.219,94.229
99.637,99.374,98.227,94.27
99.644,99.393,98.244,94.318
99.638,99.393,98.257,94.356
99.64,99.394,98.259,94.385
99.654,99.405,98.274,94.426
99.661,99.419,98.285,94.467
99.661,99.426,98.305,94.502
99.677,99.426,98.318,94.547
99.669,99.428,98.329,94.579
99.664,99.431,98.331,94.62
99.667,99.429,98.343,94.655
99.675,99.437,98.358,94.699
99.67,99.442,98.372,94.736
99.666,99.442,98.373,94.754
99.672,99.446,98.381,94.794
99.669,99.44,98.384,94.824
99.68,99.445,98.398,94.861
99.683,99.446,98.409,94.904
99.67,99.434,98.421,94.945
99.667,99.432,98.431,94.98
99.68,99.428,98.439,95.006
99.677,99.434,98.441,95.042
99.683,99.438,98.453,95.07
99.658,99.431,98.454,95.091
99.658,99.423,98.453,95.12
99.655,99.42,98.46,95.149
99.657,99.42,98.466,95.19
99.651,99.417,98.473,95.215
99.652,99.422,98.479,95.235
99.66,99.422,98.489,95.274
99.651,99.414,98.491,95.297
99.634,99.396,98.491,95.308
99.626,99.39,98.483,95.335
99.617,99.377,98.477,95.352
99.62,99.368,98.483,95.378
99.62,99.368,98.486,95.407
99.609,99.358,98.477,95.421
99.591,99.345,98.474,95.442
99.573,99.324,98.47,95.457
99.553,99.304,98.46,95.468
99.548,99.287,98.453,95.482
99.53,99.261,98.439,95.488
99.518,99.236,98.424,95.497
99.504,99.219,98.413,95.514
99.486,99.196,98.407,95.518
99.467,99.173,98.395,95.534
99.454,99.15,98.383,95.544
99.414,99.103,98.347,95.532
99.385,99.071,98.329,95.529
99.359,99.033,98.302,95.532
99.336,99.001,98.28,95.535
99.307,98.961,98.26,95.529
99.283,98.932,98.241,95.534
99.261,98.9,98.227,95.534
99.222,98.845,98.187,95.512
99.193,98.811,98.158,95.509
99.165,98.778,98.14,95.511
99.132,98.734,98.106,95.497
99.11,98.695,98.079,95.494
99.078,98.657,98.047,95.49
99.049,98.608,98.013,95.488
99.014,98.566,97.977,95.477
98.984,98.529,97.943,95.462
98.943,98.466,97.91,95.439
98.909,98.421,97.871,95.428
98.862,98.36,97.826,95.407
98.82,98.308,97.791,95.39
98.775,98.25,97.749,95.364
98.717,98.166,97.678,95.313
98.66,98.088,97.626,95.28
98.604,98.018,97.569,95.244
98.55,97.942,97.508,95.209
98.489,97.859,97.453,95.157
98.422,97.772,97.386,95.107
98.361,97.693,97.327,95.062
98.314,97.62,97.269,95.018
98.257,97.546,97.215,94.981
98.218,97.502,97.18,94.966
98.189,97.459,97.151,94.955
98.172,97.438,97.147,94.966
98.17,97.429,97.144,94.984
98.158,97.415,97.137,94.992
98.158,97.427,97.147,95.029
98.184,97.455,97.173,95.081
98.201,97.482,97.208,95.122
98.233,97.522,97.243,95.18
98.267,97.571,97.293,95.25
98.291,97.609,97.33,95.303
98.338,97.665,97.383,95.386
98.375,97.729,97.433,95.457
98.421,97.784,97.484,95.535
98.466,97.852,97.536,95.621
98.514,97.914,97.603,95.697
98.564,97.98,97.658,95.767
98.61,98.048,97.711,95.85
98.66,98.123,97.778,95.93
98.711,98.19,97.844,96.017
98.77,98.271,97.91,96.107
98.825,98.352,97.977,96.199
98.88,98.425,98.058,96.286
98.924,98.499,98.119,96.368
98.997,98.587,98.192,96.469
99.049,98.668,98.265,96.558
99.103,98.747,98.338,96.645
99.174,98.839,98.424,96.748
99.243,98.93,98.505,96.858
99.289,99.007,98.566,96.942
99.356,99.095,98.643,97.04
99.42,99.182,98.721,97.141
99.471,99.257,98.795,97.231
99.521,99.333,98.857,97.313
99.582,99.406,98.926,97.406
99.631,99.472,98.988,97.485
99.68,99.539,99.052,97.563
99.719,99.6,99.112,97.644
99.768,99.666,99.167,97.714
99.818,99.738,99.229,97.791
99.864,99.789,99.281,97.868
99.904,99.85,99.333,97.935
99.939,99.907,99.387,98.013
99.98,99.962,99.44,98.082
100.008,100.009,99.486,98.145
100.034,100.049,99.524,98.198
100.075,100.101,99.571,98.264
100.101,100.133,99.611,98.323
100.133,100.186,99.654,98.39
100.172,100.227,99.693,98.45
100.191,100.255,99.722,98.494
100.227,100.302,99.771,98.558
100.246,100.327,99.814,98.605
100.256,100.352,99.829,98.65
100.279,100.388,99.864,98.692
100.294,100.41,99.89,98.74
100.319,100.43,99.918,98.79
100.323,100.455,99.939,98.824
100.343,100.481,99.971,98.871
100.36,100.49,99.988,98.912
100.372,100.499,100.012,98.943
100.374,100.514,100.02,98.973
100.385,100.533,100.043,99.004
100.386,100.536,100.047,99.033
100.395,100.543,100.075,99.063
100.401,100.555,100.084,99.094
100.409,100.571,100.101,99.129
100.403,100.568,100.108,99.155
100.407,100.575,100.113,99.178
100.407,100.565,100.122,99.193
100.414,100.577,100.139,99.222
100.41,100.578,100.137,99.237
100.406,100.577,100.142,99.26
100.395,100.569,100.137,99.277
100.403,100.574,100.15,99.298
100.401,100.565,100.153,99.326
100.391,100.554,100.146,99.335
100.386,100.554,100.156,99.352
100.389,100.554,100.162,99.38
100.378,100.536,100.142,99.388
100.378,100.533,100.156,99.403
100.368,100.531,100.159,99.417
100.356,100.519,100.154,99.429
100.345,100.502,100.142,99.438
100.342,100.496,100.14,99.451
100.34,100.488,100.139,99.46
100.334,100.484,100.142,99.467
100.319,100.467,100.13,99.477
100.314,100.452,100.122,99.487
100.313,100.45,100.127,99.496
100.305,100.439,100.116,99.513
100.296,100.42,100.111,99.515
100.294,100.412,100.116,99.541
100.291,100.414,100.125,99.551
100.279,100.395,100.11,99.554
100.27,100.38,100.101,99.551
100.256,100.363,100.099,99.564
100.25,100.363,100.105,99.585
100.253,100.359,100.111,99.594
100.253,100.351,100.098,99.599
100.232,100.334,100.087,99.597
100.229,100.317,100.081,99.599
100.232,100.327,100.087,99.625
100.215,100.322,100.076,99.628
100.217,100.314,100.076,99.651
100.211,100.302,100.076,99.657
100.2,100.305,100.092,99.667
100.201,100.287,100.082,99.683
100.211,100.299,100.095,99.713
100.206,100.304,100.098,99.727
100.183,100.27,100.084,99.728
100.162,100.253,100.072,99.727
100.165,100.256,100.082,99.753
100.179,100.262,100.101,99.779
100.156,100.246,100.082,99.777
100.127,100.211,100.049,99.762
100.146,100.23,100.078,99.806
100.151,100.246,100.092,99.834
100.136,100.211,100.073,99.828
100.107,100.182,100.055,99.826
100.113,100.198,100.069,99.841
100.137,100.224,100.096,99.875
100.136,100.218,100.093,99.898
100.087,100.169,100.044,99.854
100.069,100.142,100.017,99.841
100.073,100.14,100.026,99.864
100.069,100.15,100.047,99.884
100.079,100.148,100.046,99.908
100.098,100.16,100.076,99.94
100.09,100.15,100.075,99.951
100.069,100.137,100.063,99.957
100.04,100.111,100.041,99.934
100.024,100.079,100.018,99.927
100.011,100.055,100.006,99.919
99.994,100.046,100,99.915
100.003,100.046,100.005,99.948
99.994,100.041,100.003,99.95
99.982,100.029,99.985,99.947
99.965,100.024,99.995,99.96
99.959,100.003,99.979,99.95
99.945,99.998,99.979,99.953
99.96,99.986,99.98,99.956
99.939,99.976,99.957,99.962
99.957,99.974,99.982,99.989
